VEICULOS;PLACA;RENAVAM;OBSERVAÇÕES;DATA;DONO;SITUAÇÃO;VALOR DE COMPRA R$
CITROEN C3 EXC 1.6 AT 2010/2011 VERDE;MTQ6H05;226696324;COMPRADO NA TROCA DO GRAND SIENA ESSENCE ODO1D20;;;MESA;R$ 20.000,00
FIAT PALIO FIRE FLEX 2008/2008 VERDE;MSJ3A24;959012379;COMPRADO NA TROCA DO UNO LLN1674;;;MESA;R$ 18.000,00
GM AGILE LT 1.4 2011/2011 CINZA;MSN6C85;284865397;COMPRADO NA PREMIUM DE COLATINA;;;RENAVE;R$ 18.750,00
CITOREN C3 AIRCROSS GLX 2010/2011 PRETO;MTY8103;283500115;COMPRADO NA TROCA DO HB20 PPP5D49;;;RENAVE;R$ 22.000,00
FORD ECOSPORT 1.6 2004/2005 PRETA;MQB8E81;839527128;COMPRADO NO GRUPO LIDER;;;RENAVE;R$ 16.800,00
FIAT GRAND SIENA ATRACTIVE 1.4 VERMELHO;ODP0E59;496078925;COMPRADO NA LIDER VEICULOS VITORIA 29/01/2024;29/01/2024;;RENAVE;R$ 24.800,00
GM COBALT 1.8 LT 2013/2013 BRANCO;OVE5B18;533627001;COMPRADO NA ESPLACAR;;;RENAVE;R$ 30.000,00
GM COBALT 1.4 LTZ 2012/2012 BRANCO;ODK9G54;477393497;COMPRADO NA EXCLUSIVA;;;RENAVE;R$ 25.000,00
GM CLASSIC LIFE 2007/2008 CINZA;DZF8I73;941355926;COMPRADO NA TROCA DO GRAND SIENA ODP0E59;;;RENAVE;R$ 9.000,00
HYUNDAI HB20 1.0 COMFORT 2016/2017 BRANCO;PPK0043;1107475713;COMPRADO NA ESPLACAR;;;RENAVE;R$ 41.000,00
FORD FOCUS GHIA 2.0 2002/2002 PRETO;DII4B25;783499183;COMPRADO NA TROCA DO ECOSPORT MQB8E81;;;MESA;R$ 9.700,00
GM AGILE LTZ 2010/2010 PRETO;MTC3D11;194890236;COMPRADO NA TROCA DO KA KXK7D24;;;FINALIZADO;R$ 20.000,00
HYUNDAI HB20 AT COMFORT 2014/2015 BRANCO;LRQ2A60;1025618006;COMPRADO NA TAI MOTORS 07/03/2024;03/07/2024;;RENAVE;R$ 45.000,00
FIAT UNO WAY 1.0 2011/2012 VERMELHO;ODA4E12;344114600;COMPRADO NA PODIUM VITORIA 12/03/2024;03/12/2024;;RENAVE;R$ 22.900,00
VW VOYAGE 1.6 2015/2016 CINZA;PWY0G43;1069089998;COMPRADO NA TROCA DO COBALT OVE5B18;;;RENAVE;R$ 35.000,00
GM PRISMA 1.4 AUTOMATICO LTZ 2015/2015 BRANCO;LRV9J62;1040581193;COMPRADO NA PODIUM CAMPOS;;;RENAVE;R$ 37.500,00
VW POLO 1.6 2012/2013 PRETO;KPA5C59;494555173;COMPRADO NA PODIUM CAMPOS 230/02/2024;;;RENAVE;R$ 30.250,00
FIAT UNO WAY 1.4 2011/2012 CINZA;LLN1674;329946307;COMPRADO NA PODIUM CAMPOS 21/02/2024;21/02/2024;;RENAVE;R$ 24.650,00
GM ONIX 1.4 LTZ 2014/2015 CINZA;PPB4I89;1021041669;COMPRADO NA LIDER CVC VITORIA;;;RENAVE;R$ 40.200,00
RENAULT LOGAN EXP 1.0 2012/2013 PRATA;FGR1F76;500777160;COMPRADO NA TROCA DO KA SEDAN QMS5G32;;;RENAVE;R$ 19.000,00
FIAT PALIO FIRE FLEX 2008/2008 BRANCO;MSA5302;964468565;COMPRADO COM MARLON DA VITORIAWAQGEM;;;RENAVE;R$ 14.000,00
FIAT GRAND SIENA 1ESSENCE 1.6 2014/2014 BRANCA;OVK4F42;995221430;COMPRADO NA TROCA DO AIRCROSS MTY8103;;;MESA;R$ 32.000,00
GM PRISMA LTZ 1.4 2015/2015 BRANCO;PPF6533;1048852676;COMPRADO NA ESPLACAR;;;RENAVE;R$ 41.000,00
FORD ECOSPORT FSL 1.6 2011/2012 PRETA;ODB9J93;403260817;COMPRADO NA VM COMERCIO DE VEICULOS CACHOEIRO 13/03/2024;13/03/2024;;RENAVE;R$ 30.000,00
TOYOTA COROLLA XLI 1.6 2007/2008 PRATA;MRH5H73;929280008;COMPRADO NA TROCA DO HB20 SEDAN LRQ2A60;;;RENAVE;R$ 32.000,00
FIAT UNO VIVACE 1.0 2011/2012 VERMELHO;NZL3F83;411845470;COMPRADO PARTICULAR;;;RENAVE;R$ 15.000,00
VW GOL 1.0 2012/2013 PRATA;ODH5052;461475863;COMPRADO NA VITORIAWAGEM GUARAPARI 19/03/2024;19/03/2024;;RENAVE;R$ 24.500,00
HYUNDAI HB20 1.0 COMFORT 2015/2015 BRANCO;PPE1880;1037822878;COMPRADO NA LIDER VEICULOS COLATINA;;;RENAVE;R$ 36.000,00
HYUNDAI HB20 1.0 COMFORT 2016/2017 AZUL;PPQ5A72;1101916378;COMPRADO NA BYD VITORIA;;;RENAVE;R$ 39.500,00
VW GOL 1.0 2 PORTAS 2013/2014 PRETO;OYI0B62;1007780638;COMPRADO NA ORVEL SERRA 20/03/2024;20/03/2024;;RENAVE;R$ 22.600,00
GM CELTA 1.0 LT 2014/2015 PRATA;OXK6G21;1006920592;COMPRADO NA TROCA DO UNO OVH2E90;;;RENAVE;R$ 28.900,00
VW VOYAGE 1.6 2009/2010 PRATA;MSX2G13;167557645;COMPRADO PARTICULAR (DAIANA - 27 998676180);;;RENAVE;R$ 21.900,00
FIAT UNO 2P 2011/2012 VERMELHO;NZL3F83;411845470;COMPRAOD PARTICULAR (APARECIDA RAMOS - 27 997670368;;;RENAVE;R$ 15.000,00
FORD FIESTA 2008/2008 PRATA;MSA0F21;962168378;COMPRADO NA TROCA DO FOCUS DII4B25;;;RENAVE;R$ 11.900,00
FORD KA 1.0 2010/2010 PRETO;MTF9B42;206186681;COMPRADO NA TROCA DO FIESTA 1.6 FLEX ODN3J13;;;RENAVE;R$ 15.500,00
GM SPIN AT 2013/2013 PRETA;MPI7I10;541843907;CCOMPRADO NA TROCA DO PRISMA LRV9J62;;;RENAVE;R$ 42.500,00
VW FOX 1.6 PRIME GII 2009/2010 PRATA;MTA3G49;184849713;COMPRADO NA TROCA DO ECOSPORT ODP9J93;;;RENAVE;R$ 25.000,00
GM PRISMA MAXX 2009/2010 PRATA;MSR2E33;152797343;COMPRADO NA VITORIAWAGEM VITORIA 28/02/2023;28/02/2023;;RENAVE;R$ 17.500,00
FIAT PALIO FIRE ECONOMY 2010/2011 PRATA;LPP7F36;219966915;COMPRADO PARTICULAR (EDUARDO LANTERNEIRO);;;MESA;R$ 18.000,00
TOYOTA COROLLA XEI 1.8 FLEX 2008/2008 CINZA;KMW9F06;950758019;COMPRADO PARTICULAR (CONHECIDO DE ROBINHO);;;MESA;R$ 32.000,00
FIAT SIENA EL 1.4 FLEX 2012/2013 PRATA;ODP4D98;499711548;COMPRADO DE ALEMAO STOP VEICULOS;;;RENAVE;R$ 25.000,00
GM ONIX 1.0 LT 2014/2015 BRANCO;PPC5B79;1026965834;COMPRADO NA KURUMA SERRA 27/03/2024;27/03/2024;;RENAVE;R$ 34.500,00
HONDA BIZ 125 ES 2008/2008 CINZA;MSI2674;981375391;COMPRADO NA TROCA DO MERIVA MVH9E52;;;MESA;R$ 6.100,00
VW FOX 1.6 2012/2013 VERMELHO;ODK7C59;473393581;COMPRADO NA TROCA DO PALIO LPP7F36;;;RENAVE;R$ 30.000,00
HONDA CB 300 2015/2015 BRANCA;OVL3232;1080377104;COMPRADO NA TROCA DO AGILE 2010/2010 MTC3D11;;;RENAVE;R$ 12.000,00
FIAT STRADA WORKING 2012/2013 BRANCA;LLS8I34;486149579;COMPRADO NA KURUMA CACHOEIRO 27/03/2024;27/03/2024;;RENAVE;R$ 27.500,00
GM CELTA SPIRIT 2P 2004/2005 PRATA;HCI5H17;840331053;COMPRADO NA TROCA DO FOX MTA3G49;;ZE CARLOS;MESA;R$ 9.000,00
TOYOTA ETIOS XS 1.5 2014/2015 PRATA;PPC2F01;1025811108;COMPRADO NA JEEP RAM VITORIA 28/03/2024;28/03/2024;;RENAVE;R$ 35.500,00
FIAT PALIO WEEK ADV DUAL 2012/2012 CINZA;ODG7H64;46336348;COMPRADO NA TROCA DO UNO ODG7H64;;;RENAVE;R$ 23.000,00
VW GOL 1.6 2012/2013 PRATA;KQJ9C35;471456128;COMPRADO DA ESPLACAR;;;RENAVE;R$ 25.000,00
FORD ECOSPORT XLT 1.6 FLEX 2008/2009 VERMELHA;MSM4973;117709638;COMPRADO PARTICULAR - INACIO - 27 998090442;;;RENAVE;R$ 25.200,00
FORD KA 1.0 SE 2016/2017 BRANCO;KRY4002;1086651046;COMPRADO NA PODIUM CAMPOS;;;CONCESSIONÁRIA;R$ 29.750,00
FORD KA SE PLUS AT 1.5 2020/2020 CINZA;RBA6I59;1228708786;COMPRADO NA KURUMA VITORIA;;;CARRO ESTÁ COM A FILHA DE ROBINHO;R$ 49.000,00
GM PRISMA 1.4 LTZ 2017/2018 BRANCO;PPU6G83;1129216311;COMPRADO NA TROCA DO ECOSPORT MSM4973;;;RENAVE;R$ 47.500,00
VW FOX 1.0 GII 2013/2014 BRANCO;OVL4766;593670949;COMPRADO NA KOBE VILA VELHA 11/04/2024;04/11/2024;;RENAVE;R$ 32.300,00
VW POLO SEDAN 1.6 COMFORT 2012/2013 PRETO;ODP1320;496379968;COMPRADO NA TROCA DO COROLLA KMW9F06;;;RENAVE;R$ 28.000,00
FIAT PALIO ELX 2002/2002 BRANCO;MTJ2437;784750432;COMPRADO NA ESPLACAR;;;MESA;R$ 6.000,00
GM COBALT 1.4 LTZ 2013/2014 BRANCO;OVJ6674;569742765;COMPRADO NA LIDER CVC CACHOEIRO 24/04/2024;24/04/2024;;MESA;R$ 30.800,00
VW FOX 1.6 ROUTE 2009/2009 VERMELHO;EEO2G60;143955454;COMPRADO NA TROCA DO FORD KA KRY4002;;;MESA;R$ 17.000,00
GM CLASSIC SPIRIT 2005/2005 BEGE;MQI9227;854895124;COMPRADO NA TROCA DO FOX 1.6 GII ODK7C59;;;MESA;R$ 10.000,00
GM PRISMA 1.0 LT 2013/2014 PRATA;OYD4E86;597290911;COMPRADO NA TROCA DO CELTA MTV0F75;;;MESA;R$ 33.000,00
FIAT SIENA ELX FLEX 2008/2008 PRATA;MRV4994;953423328;COMPRADO NA EXCLUSIVA;;;MESA;R$ 15.000,00
RENAULT CLIO CAM 1.0 2010/2010 PRETO;NTO8821;225998734;COMPRADO NA VITORIAWAGEM GUARAPARI 10/05/2024;05/10/2024;;MESA;R$ 5.500,00
KAI SOUL EX 1.6 2010/2011 PRATA;HNC9J00;268608857;COMPRADO PARTICULAS NO TROCA DO UNO LRU4C31;;;MESA;R$ 30.000,00
CITROEN C3 TENDANCE 90M 2013/2013 PRATA;ODR9I04;506995062;COMPRADO NA TROCA DO COBALT 1.4 OVJ6G74;;;MESA;R$ 29.900,00
GM PRISMA 1.4 LTZ 2014/2014 BRANCO;OYF5C49;995718121;COMPRADO NA VITORIAWAGEM GUARAPARI 07/05/2024;05/07/2024;;RENAVE;R$ 37.500,00
VW NOVO FOX CL 201/2015 PRATA;PPG7D29;1053940774;COMPRADO NA VITORIAWAGEM GUARAPARI 07/05/2024;05/07/2024;;RENAVE;R$ 37.500,00
FORD FIESTA FLEX 2013/2014 PRATA;KWN6009;587632208;COMPRADO NA PODIUM CAMPOS;;;MESA;R$ 24.400,00
FIAT SIENA ESSENCE 1.6 2015/2016 BRANCO;PPJ3A92;1062587089;COMPRADO PARTICULAR NA TROCA DO FORD KA GIB7C99;;;RENAVE;R$ 30.000,00
VW VOYAGE EVIDENCE MB 1.6 2014/2015 PRETO;KQB5C85;1013586619;COMPRADO NA EXCLUSIVA;;;RENAVE;R$ 30.000,00
FIAT UNO VIVACE 1.02010/2011 CINZA;HMZ1G70;268909520;COMPRADO NA LIDER CVC VITORIA 20/05/2024;20/05/2024;;RENAVE;R$ 16.000,00
FORD KA SE 1.5 HATCH VERMELHO;GIB7C99;1163960427;COMPRADO NA LIDER CVC VITORIA 20/05/2024;20/05/2024;;RENAVE;R$ 38.800,00
FIAT PALIO ATRACTIVE 1.0 2013/2014 BRANCO;MPB8564;567363732;COMPRADO NA KURUMA LINHARES 10/05/2024;05/10/2024;;RENAVE;R$ 28.500,00
FIAT PALIO ATRACTIVE 1.0 2012/2013 PRATA;OSJ2A15;474509788;COMPRADO NA PODIUM VITORIA 09/05/2024;05/09/2024;;RENAVE;R$ 25.150,00
HYUNDAI HB20S 1.0 COMFORT 2016/2016 PRATA;PPO4F89;1088136483;COMPRADO NA PRIME SERRA (VIA BRASIL) 17/05/2024;17/05/2024;;RENAVE;R$ 41.000,00
FIAT PALIO FIRE WAY 2015/2015 BRANCO;PPD9C73;1038931042;COMPRADO NA PODIUM VITORIA 17/05/2024;17/05/2024;;RENAVE;R$ 25.250,00
GM COBALT 1.4 LT 2016/2017 PRATA;PYO3B72;1101240358;COMPRADO NA KURUMA SERRA 21/05/2024;21/05/2024;;RENAVE;R$ 39.500,00
RENAULT SANDERO EXP 1.0 2012/2013 PRATA;ODQ6H22;500963304;COMPRAQDO PARTICULAR NA TROCA DO ETISO ODT5G05;;;RENAVE;R$ 22.000,00
TOYOTA COROLLA XEI 2008/2008 PRATA;MRS9630;951496972;COMPRADO NA LIDER CVC SERRA;;;RENAVE;R$ 28.000,00
TOYOTA ETIOS HB XS 2013/2013 CINZA;ODT5G05;525237127;COMPRADO NA KURUMA VILA VELHA 16/04/2024;16/04/2024;;RENAVE;R$ 31.500,00
HYUNDAI HB20 2016/2017 BRANCO;LTA6B99;1120089775;COMPRADO NA PODIUM CAMPOS;;;MESA;R$ 40.350,00
FIAT SIENA EL 1.4 FLEX 2012/2013 PRATA;ODO3481;498521311;COMPRADO NO DULUPINHO;;;MESA;R$ 21.000,00
VW FOX 1.6 PRIME GII 2010/2011 CINZA;HGP4G02;272411230;COMPRADO NA TROCA DO NOVO FOX PPG7D29;;;RENAVE;R$ 26.000,00
NISSAN MARCH 1.6 2016/2016 PRETO;PPO3H74;1085557020;CRISTIANE;;;ARMARIO;CONSIGNADO 
FORD KA SEDAN 1.0 2019/2019 BRANCO;END3G83;1191342597;COMPRADO NA PODIUM SERRA 10/05/2024;05/10/2024;;RENAVE;R$ 40.500,00
FIAT IDEA ELX 2009/2010VERDE;MST7687;148796966;COMPRADO NA VM COMERCIO DE VEICULOS 25/04/2024;25/04/2024;;RENAVE;R$ 21.000,00
GM CELTA 4P SPIRIT 2010/2011 PRATA;MTV0F75;267422610;COMPRADO NA LIDER CVC GUARAPARI;;;RENAVE;R$ 20.000,00
FORD ECOSPORT XLT 1.6 FLEX 2007/2007 PRETA;MRA4E26;908296371;COMPRADO PARTICULAR VANDO - 27 992428873;;;RENAVE;R$ 18.000,00
FORD KA 1.0 FLEX 2011/2011 PRATA;KNY9G53;308798198;COMPRADO NA TROCA DO NISSAN MARCH PPO3H74;;;RENAVE;R$ 15.000,00
VW CROSSFOX GII 2011/2011 CINZA;MTW9A05;284695602;COMPRADO NA TROCA DO HB20 LTA6B99;;;RENAVE;R$ 32.000,00
YAMAHA LANDER 250 2020/2021 AZUL;KJD1A95;1236200621;COMPRADO NA TROCA DO PRISMA OYD4E86;;;RENAVE - PREENCHER RECIBO;R$ 18.000,00
FIAT IDEA ADV 2006/2007 CINZA;MQY2G27;899534872;COMPRADO NA TROCA DO PRISMA OYD4E86;;;TRAZER RECIBO;R$ 18.000,00
FIAT PALIO SPORTING 1.6 2013/2014 BRANCA;OVI6J19;585054320;COMPRADO DE MARQUINHOS EXCLUSIVA;;;MESA;R$ 30.000,00
HONDA CG 150 TITAN ES 2008/2008 VERMELHA;LKR8D57;975324004;COMPRADO PARTICULAR NA TROCA DO FOX HGP4G02;;;MESA;R$ 5.000,00
VW GOL 1.0 2012/2013 BRANCO;ODH8E91;463292537;COMPRADO NA TAI VITORIA 28/05/2024;28/05/2024;;RENAVE;R$ 23.200,00
FIAT PALIO FIRE ECNOMY 2009/2010 VERMELHO;MTA9B64;191170550;COMPRADO NA TAI VITOIRA 28/05/2024;28/05/2024;;RENAVE;R$ 16.200,00
FORD ECOSPORT FSL 1.6 2013/2014 BRANCO;FBX5J83;576266876;COMPRADO NA ESPLACAR 03/06/2024;06/03/2024;;MESA;R$ 38.000,00
VW FOX 1.0 GII 2014/2014 VERMELHO;KPW4G49;993571123;COMPRADO NA PODIUM DE CAMPOS 03/06/2024;06/03/2024;;CONCESSIONÁRIA;R$ 34.150,00
VW GOL 1.0 2011/2012 PRATA;ODC8I13;395342953;COMPRADO NA TROCA DO GRAND SIENA PPJ3A92;;;RENAVE;R$ 20.000,00
VW FOX 1.6 PLUS 2008/2009 PRATA;MSN9H98;123028817;COMPRADO NA TROCA DO CROSSFOX MTW9A05;;;RENAVE;R$ 20.000,00
RENAULT SYMBOL PR 1.6 2012/2013 PRATA;KVU6C66;488638240;COMPRADO COM MIGUEL VITORIAWAGEM;;;MESA;R$ 18.000,00
HYUNDAI HB20 1.0 UNIQUE 2018/2019 BRANCO;QRE7I09;1178826136;COMPRADO NA EXCLUSIVA;;;MESA;R$ 43.000,00
VA VOYAGE 1.6 TREND 2009/2010 CINZA;MTB5052;190733772;COMPRADO PARTICULAR NA TROCA DO HB20 S PPO4F89;;;COM CLIENTE;R$ 20.000,00
HONDA BIZ 125 2023 2023 BRANCA;SGA3D81;1360054860;COMPRADO NA TROCA DO ONIX GGC5J27;;;COM CLIENTE;R$ 15.000,00
TOYOTA ETIOS HB 2017/2018 PRATA;PPU6E48;1123389826;COMPRADO NA KURUMA SERRA 21/06/2024;21/06/2024;;RENAVE;R$ 43.500,00
FORD ECOSPORT FSL 1.6 FLEX 2011/2012 PRATA;ODE9726;430299648;COMPRADO NA TROCA DO FORD KA KNY9G53;;;RENAVE;R$ 30.000,00
FORD FIESTA FLEX 2013/2014 BRANCO;MPK8C30;600681165;COMPRADO PARTICULAR;;;RENAVE;
VW GOL 1.6 CL 1997/1997 BRANCO;MRK3255;673929051;COMPRADO NA TROCA DO PRISMA MSM3J80;;;RENAVE;R$ 5.000,00
GM PRISMA 1.0 LT 2014/2015 VERMELHO;PPB9853;1024137624;COOMPRADO NA KURUMA LINHARES;;;RENAVE;R$ 34.000,00
FIAT GRAND SIENA ATRCTIVE 1.4 2016/2017 BRANCO;MRV3F23;1102086727;COMPRADO NA EXCLUSIVA;;;RENAVE;R$ 34.000,00
FIAT SIENA ATRCTIVE 1.4 2013/2013 PRATA;OPE9A79;506876624;DEVOLUCAO DIONEDIO;;;RENAVE;R$ 39.000,00
HONDA CG 150 FAN ESDI 2011/2011 PRETA;MTV4H87;293181802;COMPRADO NA TROCA DO SIENA EL ODO3481;;;RENAVE;R$ 7.000,00
GM COBALT 1.4 LT 2012/2013 BEGE;ODR0I83;505748037;COMPRADO NA KURUMA SERRA 21/06/2024;21/06/2024;;RENAVE;R$ 31.000,00
VW FOX 1.6 PLUS 2008/2009 PRATA;MSN9H98;123028817;COMPRADO NA TROCA DO SIENA ODO3481;;;RENAVE;R$ 20.000,00
GM PRISMA 1.4 LTZ 2015/2015 BRANCO;PPI9B29;1064198837;COMPRADO NA TROCA DO VOYAGE KQB5C85;;;RENAVE;R$ 41.000,00
FORD FIESTA 1.6 FLEX 2010/2011 VERMELHO;MTW6870;322054680;COMPRADO NA EXCLUSIVA;;;RENAVE;R$ 20.000,00
FORD FIESTA 1.6 TRAIL 2008/2008 PRETO;MSE2159;971788073;COMPRADO NA TROCA DO ECOSPORT ODE9726;;;RENAVE;R$ 15.000,00
FIAT WEEKEND TREKKING 2014/2015 BRANCA;OYJ9C20;1017109980;COMPRADO NA ESPLACAR 09/07/2024;07/09/2024;;RENAVE;R$ 26.000,00
HONDA CIVIC LXS FLEX 2008/2008 CINZA;MSH6D26;980614899;COMPRADO NA TROCA DO PRISMA PPI6B29;;;RENAVE;R$ 32.000,00
FORD KA SE 1.0 2017/2018 VERMELHO;PZO9J56;1118789692;COMPRAOD NA KURUMA VITORIA 20/06/2024;20/06/2024;;RENAVE;R$ 36.000,00
HYUNDAI HB20 1.6A COMF 2016/2017 PRATA;PPQ8E92;1103171655;COMPRADO PARTICULAR;;;RENAVE;R$ 50.000,00
VW GOL 1.6 2009/2009 PRATA;MSQ9162;1333406;COMPRADO NA TROCA DO GRAND SIENAOVK4F42;;;SEGUNDA VIA;R$ 19.000,00
HONDA CIVIC LXS 2008/2008 CINZA;MSH6D26;980614899;COMPRADO NA TROCA DO PRISMA PPI9B29;;;RENAVE;R$ 32.000,00
GM MERIVA MAXX 2012/2012 CINZA;ODK7787;481201025;COMPRADO NA TROCA DO KA SEDAN DMF4I21;;;RENAVE;R$ 24.000,00
HONDA CG 160 FAN 2021/2021 VERMELHO;QRS2B23;1270076083;COMPRADO NA TROCA DO FOX KPW4G49;;;RENAVE;R$ 13.000,00
FIAT STRADA FIRE CE FLEX 2011/2011 VERMELHA;MTW6I49;280538081;COMPRADO NA EXCLUSIVA;;;RENAVE;R$ 27.000,00
GM ONIX 1.0 JOY 2019/2019 BRANCO;QQD7193;1182202567;COMPRADO NA PODIUM CAMPOS;;;CONCESSIONÁRIA;R$ 41.850,00
FORD FIESTA SE 2010/2011 CINZA;MTT8F95;252751647;COMPRADO NA KOBE NISSAM 12/07/2024;07/12/2024;;CONCESSIONÁRIA;R$ 15.750,00
CITOREN C3 GLX 1.4 2011/2012 PRATA;OCX5543;334175356;COMPRADO NA ESPLACAR;;;CONCESSIONÁRIA;R$ 15.000,00
GM MERIVA MAXX 2012/2012 CINZA;ODK7787;481201025;COMPRADO NA TROCA DO FORD KA SEDAN DMF4I21;;;MESA;R$ 24.000,00
VW CROSSFOX 2008/2009 PRETO;MSG2A92;976881543;CMPRADO NA TROCA DO PALIO WPORTING OVI6J19;;;MESA;R$ 25.000,00
RENAULT DUSTER 2.0 4X4 2013/2014 PRATA;KPR2H62;588331724;COMPRADO NA TROCA DO FIESTA KWN6A09;;;MESA;R$ 42.900,00
FORD KA SEDAN PLUS 1.0 2020/2021 PRATA;DMF4I21;1251834970;COMPRADO NA ORVEL SERRA 15/07/2024;15/07/2024;;RENAVE;R$ 44.100,00
FORD FIESTA HÁ 1.5 2014/2015 BRANCO;OYJ9B57;1085051550;COMPRADO NA VM COMERCIO VITORIA 12/07/2024;07/12/2024;;RENAVE;R$ 33.000,00
VW GOL 1.0 2009/2009 BRANCO;MSQ0I21;134809513;COMPRADO NA TROCA DO NEW FIESTA OYJ9B57;;;RENAVE;R$ 15.000,00
FIAT UNO VIVACE 1.0 2012/2013 PRATA;ODK8F51;481884220;COMPRADO NA RECREIO GUARAPARI 05/08/2024;08/05/2024;;RENAVE;R$ 24.200,00
FORD ECOSPORT 2014/2014 BRANCA;OYI6A33;1009544648;COMPRADO NA KURUMA VILA VELHA;;;RENAVE;R$ 43.500,00
HYUNDAI HB20 1.0 UNIQUE 2018/2019 PRATA;QPD8A35;1165769333;COMPRADO NA CVC VITORIA;;;RENAVE;R$ 44.000,00
HYUNDAI HB20 1.6 AT 2013/2014 BRANCO;LLY3F20;589128710;COMPRADO NA KURUMA CACHOEIRO 31/07/2024;31/07/2024;;RENAVE;R$ 44.500,00
VW FOX 1.0 2009/2010 PRETO;MSX5B39;165914904;COMPRADO NA TROCA DO ETIOS PPU6E48;;;MESA;R$ 16.000,00
VW SPACEFOX TREND GII 2012/2012 PRETA;ODL1B92;476707870;COMPRADO PARTICULAR DE ROBSON - 27 999735614;;;RENAVE;R$ 18.000,00
VW POLO SEDAN 2012/2013 CINZA;LQM7B42;492496536;COMPRADO NA PODIUM CAMPOS;;;CONCESSIONÁRIA;R$ 33.350,00
VW GOL 1.0 2004/2005 PRETO;MQF1B36;841198128;COMPRADO NA TROCA DO POLO SEDAN LQN7B42;;;MESA;R$ 10.000,00
TOYOTA COROLLA SEG 2005/2005 AZUL;JGP8197;862086396;COMPRADO NA TROCA DO HB20 SEDAN JPG8I97;;;MESA;R$ 27.500,00
GM ONIX 1.0 LT 2018/2018 PRETO;LMN4B76;1151082012;COMPRADO NA PRIME VILA VELHA 14/08/2024;14/08/2024;;RENAVE;R$ 42.500,00
FORD KA SE 1.0 SEDAN 2018/2018 BRANCO;PPW8J43;1144914369;COMPRADO NA CVC LIDER SERRA 12/08/2024;08/12/2024;;RENAVE;R$ 39.000,00
GM CORSA SEDAN PREMIUM 2009/2010 VERDE;MTA6195;194015998;COMRPADO NA TROCA DO NEW FIESTA MTT8F95;;;MESA;R$ 18.000,00
VW SAVEIRO SUPER SURF 1.6 2003/2003 PRATA;MSL3I30;799972444;COMPRADO NA ESPLACAR;;;RENAVE;R$ 20.000,00
VW GOL 1.0 2012/2013 BRANCO;ODI5C72;467162026;COMPRADO NA PREMIUM VILA VELHA;;;RENAVE;R$ 25.800,00
GM PRISMA 1.0 LT 2014/2014 BRANCA;OYF4A20;998239968;COMPRADO NA KOBE VILA VELHA;;;RENAVE;R$ 35.750,00
VW GOL 1.0 2004/2005 PRETO;MQF1B36;841198128;COMPRADO NA TROCA DO POLO SEDAN LQM7B42;;;MESA;R$ 10.000,00
RENAULT SANDERO EXP 1.0 2009/2010 BRANCO;MSU5C12;151856516;COMPRADO NA TROCA DO PALIO WEEK OYJ9C20;;;RENAVE;R$ 16.500,00
VW VOYAGE 1.0 2010/2011 BRANCO;MTW6G40;274827581;COMPRADO NA VITORIA AUTO SALLES;;;RENAVE;R$ 25.200,00
GM PRISMA 1.4 LTZ AT 2016/2016 PRATA;PPP5B04;1090121439;COMPRADO NA TROCA DO ECOSPORT OYI6A33;;;RENAVE;R$ 45.000,00
FORD KA 1.0 HÁ 2017/2018 PRETO;PPT3854;116277228;COMPRADO NA TRILHA VITORIA;;;RENAVE (PENDENTE);R$ 35.000,00
GM CAPTIVA SPORT 2010/2010 PRATA;HNK9J70;213135884;COMPRAOD NA PRIME VILA VELHA 19/09/2024;19/09/2024;;RENAVE;R$ 26.500,00
VW GOL 1.0 2009/2009 PRATA;MSO8H23;124604528;COMPRADO PARTICULAR;;;RENAVE;R$ 16.500,00
VW VOYAGE 1.0 2009/2010 PRETO;MTA9856;190895640;COMPRADO NA TROCA DO PRISMA PPB9I53;;;RENAVE;R$ 21.000,00
FIAT GRAND SIENA ESSENCE 1.6 2016/2017 BRANCO;PPH9D42;1107517262;COMPRADO NA TROCA DO KA SEDAN PPW8J43;;;RENAVE;R$ 35.000,00
GM SPIN LTZ AT 2012/2013 CINZA;ODO1D14;492659770;COMPRADO NA ESPLACAR;;;RENAVE;R$ 40.000,00
HONDA FIT LX FLEX 2010/2010 PRETA;HMY0D29;197623778;COMPRADO NA TROCCA DA SAVEIRO ODM5A55;;;RENAVE;R$ 30.000,00
VW GOL 1.0 2010/2011 VERMELHO;LLE8F41;223566063;COMPRADO PARTICULAR - RENATO - 27 998238712;;;RENAVE;R$ 16.000,00
GM CLASSIC SPIRIT 2007/2008 CINZA;HHB4514;936836725;COMPRADO NA TROCA DO ONIX LMN4B76;;;COM CLIENTE;R$ 11.000,00
GM CORSA SEDAN MAXX 2005/2005 PRETO;MQD7B24;847142892;COMPRADO NA PRIME GUARAPARI 27/08/2024;27/08/2024;;RENAVE;R$ 12.000,00
HYUNDAI HB20 1.0 2013/2013 VERMELHO;OUD2F63;527559849;COMPRADO NA EXCLUSIVA;;;RENAVE;R$ 24.000,00
GM COBALT 1.4 LTZ 2013/2013 BRANCO;ODT1G13;527808989;COMPRADO NA EV COMERCIO DE VEICULOS LTDA (BYD VITORIA) 31/08/2024;31/08/2024;;RENAVE;R$ 27.000,00
FORD KA SE 1.5 SEDAN 2016/2017 BRANCO;PPK9D92;1101155245;COMPRADO NA V M COMERCIO DE VEICULOS 30/08/2024;30/08/2024;;RENAVE;R$ 39.000,00
